縣市別,鄉鎮市區別,診所名稱,診所地址,診所電話
新北市,三重區,九如聯合診所,新北市三重區仁愛街753號,02-28575600
彰化縣,二林鎮,二林綜祐診所,彰化縣二林鎮中正路6號,04-8952991
新北市,蘆洲區,人安診所,新北市蘆洲區民權路133號1樓,02-22881661
基隆市,中正區,八斗子診所,基隆市中正區北寧路378之1號2樓,02-24698789
臺中市,大甲區,力倫診所,臺中市大甲區蔣公路246號,04-26805889
新北市,三芝區,三芝彭小兒科診所,臺中市大甲區蔣公路246號,02-26369622
新北市,三重區,三重祥安診所,新北市三重區三和路四段374號,02-22808558
臺南市,仁德區,三華診所,臺南市仁德區太子路142號,06-2731826
新北市,樹林區,三樹金鶯診所,新北市樹林區學成路600號,02-26807101
臺南市,西港區,千日好診所,臺南市西港區中山路350號,06-7954509
臺中市,大甲區,大元診所,台中市大甲區順天路136號,04-26802250
嘉義市,東區,大心診所,嘉義市東區吳鳳北路116號,05-2279237
臺南市,北門區,大立診所,臺南市北門區北門里72號,06-7860090
臺北市,大同區,大同耳鼻喉科診所,臺北市大同區重慶北路三段250之4號,02-25975833
新北市,三重區,大有診所,新北市三重區中正北路374號1樓,02-29834567
高雄市,大寮區,大承耳鼻喉科診所,高雄市大寮區鳳屏一路466號,07-7013668
高雄市,鳳山區,大欣診所,高雄市鳳山區文化路25號,07-7993009
臺北市,中山區,大直佳恩診所,臺北市中山區北安路591號,02-25323301
臺北市,中山區,大直診所,臺北市中山區北安路595巷2弄2號,02-25332339
桃園市,大溪區,大桃園耳鼻喉科診所,桃園市大溪區康莊路100號1樓,03-3870976
高雄市,前金區,大郭診所,高雄市前金區成功一路412號,07-2412233
臺北市,內湖區,大湖診所,臺北市內湖區成功路四段366號,02-27906002
桃園市,桃園區,大順診所,桃園市桃園區南平路302之3號,03-3167585
臺東縣,臺東市,大慶家醫科外科診所,臺東縣臺東市中山路267號,08-9322221
臺中市,沙鹿區,小太陽小兒科診所,臺中市沙鹿區鎮南路二段631號,04-26365757
臺東縣,臺東市,小太陽小兒科診所,臺東縣臺東市光明路124號,089-349106
屏東縣,屏東市,小太陽兒科聯合診所,屏東縣屏東市建豐路169號,08-7379591
雲林縣,斗六市,小幼苗小兒科診所,雲林縣斗六市中山路311號,05-5362982
雲林縣,斗南鎮,小熊小兒科診所,雲林縣斗南鎮南昌路140號,05-5966775
臺中市,大甲區,小熊的森林診所,台中市大甲區三民路132號,04-26805060
新北市,新莊區,中心診所,新北市新莊區中港路321號,02-22765992
新北市,新莊區,中平耳鼻喉科診所,新北市新莊區中平路29號,02-29977307
